unique_id,size,complexity,transformations,n_transformations,final_status,nmae_AutoARIMA,nrmse_AutoARIMA,smape_AutoARIMA,nmae_naive,nrmse_naive,smape_naive,nmae_seasonal_naive,nrmse_seasonal_naive,smape_seasonal_naive,%nmae_arima_vs_snaive,%nrmse_arima_vs_snaive,%smape_arima_vs_snaive,%nmae_arima_vs_naive,%nrmse_arima_vs_naive,%smape_arima_vs_naive,nmae_RF,nrmse_RF,smape_RF,nmae_LGBM,nrmse_LGBM,smape_LGBM,%nmae_rf_vs_snaive,%nrmse_rf_vs_snaive,%smape_rf_vs_snaive,%nmae_rf_vs_naive,%nrmse_rf_vs_naive,%smape_rf_vs_naive,%nmae_lgbm_vs_snaive,%nrmse_lgbm_vs_snaive,%smape_lgbm_vs_snaive,%nmae_lgbm_vs_naive,%nrmse_lgbm_vs_naive,%smape_lgbm_vs_naive
M80,585,22292.093,[],0,stationary,0.119517927542703,0.1545203672971202,0.0609767125078401,0.3235978288963556,0.3527191237658988,0.1436239210759048,0.1434479193590075,0.1696926687799784,0.0711119069925398,16.682006907618394,8.941047124746698,14.252457729424863,63.06590561799376,56.191667282640445,57.54418062739413,0.17645222353314577,0.2343332302699453,0.08341567141886656,0.23814419009326057,0.2991265254875384,0.10805007913499894,-23.007865378331708,-38.0927248977262,-17.301975079387933,45.47175296727307,33.563786457614,41.920767241285915,-66.01439125600453,-76.27545588040839,-51.943723216892835,26.40735850872002,15.194128888211367,24.768744422529167
M160,91,273.198,['difference'],1,stationary,0.1530327482246497,0.1784448473631113,0.0804065038673163,0.1489420170376477,0.1737297332245592,0.0780291765834643,0.1513236237061463,0.1766827908829928,0.079473828330737,-1.1294499012409902,-0.9972994377733938,-1.1735631165242155,-2.746525975922568,-2.714051331937175,-3.046715841361032,0.13833891628415088,0.16322640043648914,0.07195725024047102,0.11690482733351622,0.13753954806771707,0.059971908805211666,8.580753688009933,7.6161296633666336,9.457928790073023,7.118945321397592,6.04578881986406,7.7816101730849505,22.74515738498806,22.15453051180187,24.53879463861545,21.509840098401195,20.831313376889554,23.14168695467084
M251,289,2168.225,['difference'],1,stationary,0.599868203853843,0.6283072828649731,0.2340932116271142,0.4155945855241078,0.4407823638334712,0.1764574407265909,0.7791699295223179,0.8407417171305791,0.2712039429416568,23.01188981694899,25.26750248466759,13.683699031811669,-44.339754353957,-42.543652926719474,-32.66270363165139,0.15023868403600094,0.23451344462398846,0.08270945212961929,0.4526934858624488,0.5124545391151833,0.23199107048053424,80.71811060161073,72.10636276924923,69.50285780048107,63.849701302885265,46.79609170738322,53.12781836285833,41.90054457825657,39.04732824913553,14.458813554033863,-8.92670444480297,-16.260218457558366,-31.47140156021476
M293,150,5295.457,['detrend'],1,stationary,0.2781233166227366,0.306875487883088,0.1559470143126796,0.2483695113489939,0.2864890613564761,0.1356577603575887,0.2329665972841708,0.2585992204820413,0.1339506981588686,-19.38334502241276,-18.66837313393964,-16.421203066611064,-11.979652861632587,-7.115952850027039,-14.956205897553708,0.17935126816680358,0.2000341339077894,0.08273185567790223,0.07682133024280526,0.11931662474104593,0.038096610831122674,23.01417016104144,22.647046833739015,38.2370851253195,27.788532822456634,30.177392127761387,39.014284579205636,67.02474468942893,53.860408195108235,71.55922936217979,69.0697421653898,58.35211851506569,71.91711647700694
M591,142,372.494,['difference'],1,stationary,0.0438324871655403,0.049611968165944,0.0215880287581908,0.0283224872023014,0.0306945225779352,0.0140784352283869,0.0310765234725953,0.0369275725843431,0.0154142808216583,-41.04694562824494,-34.34938907134911,-40.052130929507086,-54.762139541115815,-61.631340054162095,-53.341109349013685,0.02904598198771135,0.03687613248142084,0.014900352540976056,0.08393455812287576,0.10004952205191125,0.04497978148192952,6.534004637534752,0.13929998459760898,3.334104825442994,-2.5544888774851593,-20.139130321346965,-5.838129730013546,-170.0899223714425,-170.9344672558607,-191.80590390392604,-196.35306222701897,-225.9523642952244,-219.49418207525667
M609,682,8363.231,"['difference', 'difference']",2,stationary,0.1105562055403809,0.1270701041603285,0.0573715580277251,0.1211647314637353,0.1387007582028789,0.0633164941547244,0.2682605519410758,0.2871105180620555,0.1554930291096331,58.78775140794277,55.74174536759262,63.10345334691864,8.75545696771466,8.385429317940805,9.389237680266753,0.06489078047708821,0.07749459020999792,0.03176243252070773,0.0461204112953756,0.05398282724620375,0.02344273582120455,75.8105394149261,73.00879440674186,79.57308266320217,46.44416762768127,44.12821442789385,49.83545291833289,82.80760590341808,81.19789284956256,84.92360978788585,61.935778886961444,61.07964516874337,62.975309776440994
M659,324,1068.082,['difference'],1,stationary,0.0087691680619806,0.0101361987652781,0.0043582644038064,0.0120285423037716,0.0156889973558173,0.0060376228167238,0.0156982670744138,0.0182053529861005,0.0079634085188952,44.13926059218791,44.32297592352664,45.271369747447416,27.09700111183847,35.392947456136966,27.814894436029856,0.012517363994920976,0.01371954453136282,0.006188928898393402,0.016245606304517296,0.017093440052863954,0.00802352191114434,20.26276572066541,24.64005206689771,22.282915868141085,-4.063848127267291,12.553082773796428,-2.5060538934379033,-3.486621978776181,6.107615348548719,-0.7548701301271401,-35.05881173501313,-8.951768332894162,-32.89206952311985
M795,324,3263.832,['difference'],1,stationary,0.0331399671716178,0.0346209624200076,0.0166724629032028,0.0318335631031457,0.0349202638556249,0.0160151459366657,0.033400175460584,0.0355451881210472,0.0170080816465804,0.7790626407733382,2.600142944502589,1.9732898180499363,-4.103857504857895,0.8570995822218294,-4.104345780778586,0.004672006346753172,0.00589238481690598,0.002326227996461745,0.011784450801140576,0.01396881959524039,0.005888387109614863,86.01203052880165,83.4228340645159,86.32280791685022,85.32364620443164,83.1261732692869,85.47482485853602,64.71739852071266,60.70123599382752,65.37888733148945,62.98105002271621,59.997955190162976,63.23238556238342
M922,324,797.621,['difference'],1,stationary,0.0150634256409924,0.0185876250477166,0.0074950122339378,0.0264681555004135,0.032377142309429,0.0132294395578999,0.0341191066997518,0.0390868089380232,0.0171953734696859,55.850468848582125,52.44527360320072,56.41262315615906,43.08849500012539,42.59028523865903,43.34595807225853,0.011033921359428505,0.015059590524081932,0.00545124286832953,0.0153669082946441,0.017772729877284007,0.007628312693862557,67.66057957927495,61.471424930183716,68.29820022263753,58.31246586390908,53.48696812041926,58.79460468093416,54.960988780061214,54.53010782879516,55.63741196252193,41.941899599297614,45.10716941158775,42.33835333328732
M1085,324,1933.313,['difference'],1,stationary,0.006029473015617,0.0085853263240711,0.0029998172104301,0.0257386685414103,0.0283433609210586,0.0129966661213739,0.0284238483019899,0.0302639723878397,0.0144508768943964,78.78727415247648,71.6318591160201,79.24127904242721,76.57426216155503,69.70956850183423,76.91856371152986,0.012179578468102813,0.01434281092773763,0.00600429738760548,0.002344875926175642,0.002785035572279726,0.0011742924390787067,57.15014258906616,52.607639394025206,58.450290376954506,52.67984259361593,49.396223801104746,53.80124924705878,91.75032211943137,90.79752143377327,91.87390185619768,90.88967666527493,90.17394027463239,90.96466410607023
M1155,324,296.479,"['detrend', 'detrend']",2,max_diff_reached,0.0067743125533987,0.0079220096758831,0.0033791437204771,0.0072752874911992,0.0083898441359866,0.0036465426530049,0.0305092701243839,0.033588905257573,0.0155487861944842,77.79588785382137,76.41480240235859,78.26747581315465,6.8859813224766695,5.576199659022962,7.332944050646228,0.009639445872280685,0.011054997712177947,0.004807862798628297,0.008295413331473645,0.010119847646555758,0.0041551076582469785,68.40486241400919,67.08735331680549,69.0788545260604,-32.49573826383314,-31.766425370880157,-31.847156502239766,72.81018753430058,69.87145734892886,73.27696447635914,-14.02179421099819,-20.62021037016226,-13.946498193926239
M1446,936,645.802,['difference'],1,stationary,0.0037090156411945,0.0045690998372438,0.0018601064471209,0.0111997693741184,0.0128341760503015,0.0056105904667848,0.0211146231223038,0.0222890255566528,0.0106599588403613,82.43390081030321,79.50067477992508,82.55052880618939,66.88310698820533,64.39896243174485,66.84651182201051,0.0038865475154314685,0.005383770788245443,0.001946734888616263,0.00440717864173489,0.005913640260470255,0.0022075402512965908,81.59310022765204,75.84564307416076,81.73787612344776,65.2979683276969,58.051293926897884,65.30249534088955,79.12736298343162,73.46837686807193,79.29128728960674,60.64938040671212,53.92271200509726,60.654047655671405
