unique_id,bagging_freq,learning_rate,verbosity,n_estimators,lambda_l1,lambda_l2,num_leaves,feature_fraction,bagging_fraction,objective
M80,1,0.05,-1,20,2.330539970050842e-06,0.00015213070294629738,316,0.7213938370162751,0.8677733377224753,l2
M160,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M251,1,0.05,-1,154,0.00043740474215795875,0.00015312755825476937,1691,0.9971749446729319,0.8372443659273394,l2
M293,1,0.05,-1,961,0.12603080459239005,0.0138012115665608,1387,0.9234335731055759,0.9208696981767623,l1
M591,1,0.05,-1,126,0.2598724495622204,0.29501267264167275,45,0.739258627547459,0.9342888919938602,l2
M609,1,0.05,-1,21,0.9212296592012771,0.027775253868628322,2,0.5873076123427488,0.9341506730121976,l2
M659,1,0.05,-1,443,0.061889503162943296,4.259003962864263e-07,200,0.6935912767516591,0.8923924084407077,l1
M795,1,0.05,-1,37,4.88118073814316e-07,0.01635932181569952,623,0.6121001098756721,0.6819488584132406,l2
M922,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M1085,1,0.05,-1,110,0.15776506555004421,1.695658816604378e-07,13,0.5022124093550158,0.5950326192980802,l2
M1155,1,0.05,-1,968,5.2554054391735126e-05,4.012066326939473,37,0.9982248156948806,0.9169113462320945,l2
M1446,1,0.05,-1,39,1.1005678381146805e-08,6.754024954119522,4,0.5965101099962279,0.6652861592550635,l2
M1468,1,0.05,-1,33,0.027986258230304234,4.0239709475948286e-06,6,0.7932564674050415,0.5100537730937468,l1
M1537,1,0.05,-1,33,0.027986258230304234,4.0239709475948286e-06,6,0.7932564674050415,0.5100537730937468,l1
M1619,1,0.05,-1,33,0.027986258230304234,4.0239709475948286e-06,6,0.7932564674050415,0.5100537730937468,l1
M1757,1,0.05,-1,49,0.0004059165424373781,1.5140258317520454e-05,7,0.7553359916488994,0.8706293236677359,l2
M1827,1,0.05,-1,26,0.01086947674585237,1.0994827623238491e-08,69,0.9675786019474771,0.7806775109958657,l2
M2076,1,0.05,-1,76,5.406666144580582e-05,8.975512186219395e-07,34,0.5553891407918619,0.5040969198073415,l2
M2213,1,0.05,-1,73,1.675004511563432e-07,6.337257075184536,42,0.9891969565368841,0.9989115252875516,l1
M2337,1,0.05,-1,85,0.0014053283344637243,5.2524047497412666e-08,2,0.6526871540410604,0.6633015431098517,l2
M2342,1,0.05,-1,529,7.326316408987164e-08,6.139530838198258,61,0.9883805440951685,0.802422759872523,l1
M2589,1,0.05,-1,238,1.7869822946069245e-05,0.004671373661126857,32,0.968816066249435,0.998889739118296,l1
M2605,1,0.05,-1,182,2.4462757967076694e-06,0.0005119558161158846,3,0.7879732477780896,0.964648098788107,l2
M2766,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M2840,1,0.05,-1,182,2.4462757967076694e-06,0.0005119558161158846,3,0.7879732477780896,0.964648098788107,l2
M3008,1,0.05,-1,30,8.903864691906131,3.8305596222637475e-07,2,0.7113954739604521,0.5745687679438831,l2
M3178,1,0.05,-1,47,9.105758873227396e-07,6.785957360605046e-06,4037,0.6146033549762904,0.8482962764413704,l1
M3269,1,0.05,-1,20,1.4388056966403827e-08,1.0463661748653903e-08,2,0.714648581079819,0.8980286745807406,l2
M3427,1,0.05,-1,325,0.359413567998244,0.009375367208982662,1627,0.5580161107168081,0.7529160312902071,l2
M3482,1,0.05,-1,85,0.00010456426831291743,0.03247156635065787,15,0.7153400003467473,0.9437987050887332,l2
M3496,1,0.05,-1,762,0.00011877456760833974,0.497933759468816,27,0.8909211985881653,0.7770970612450047,l1
M3714,1,0.05,-1,981,2.0733814647116136e-05,6.904810932651368,187,0.6849166174903245,0.8147272055336435,l1
M3852,1,0.05,-1,501,1.0813246538944475e-08,0.21408439501959595,709,0.8314856272851401,0.7853041491450561,l1
M3941,1,0.05,-1,66,1.0234182316220993e-08,1.862778759495593e-05,2,0.6792469893392755,0.9271642195915923,l2
M4079,1,0.05,-1,441,0.0002966251172977517,0.007518605345044241,1902,0.9599000667485593,0.7375897614574379,l1
M4186,1,0.05,-1,182,2.4462757967076694e-06,0.0005119558161158846,3,0.7879732477780896,0.964648098788107,l2
M4231,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M4440,1,0.05,-1,283,0.6635141144221256,1.2019104147824153e-06,583,0.8314156491327149,0.5742399246902801,l1
M4570,1,0.05,-1,400,1.0682261724059503e-08,0.6295190525170309,18,0.5387288974065058,0.856560601935932,l1
M4719,1,0.05,-1,330,0.00016858002376339003,0.16890723690693354,269,0.8988443790668629,0.8997829475487618,l1
M4816,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M4971,1,0.05,-1,192,2.740373559143604e-06,2.3522373052413923,3,0.7070706752410236,0.8652184078964953,l2
M5139,1,0.05,-1,61,0.0007980746275134533,0.001370578444597141,2,0.8350937804383223,0.5419511185816263,l2
M5176,1,0.05,-1,33,4.836608486915032e-06,0.0013479823207365454,161,0.7871626244247893,0.8266004099285669,l1
M5273,1,0.05,-1,50,6.371615177860042e-08,0.0004604305537993661,58,0.7478989229467442,0.6581044362317297,l2
M5301,1,0.05,-1,20,0.001623056817275377,2.717997763866131e-05,15,0.9230743814784086,0.9384677284413144,l2
M5440,1,0.05,-1,24,0.00043311944955389697,8.908068845246293e-06,508,0.8630532894573337,0.956710955293017,l1
M5683,1,0.05,-1,178,9.432109614709024e-07,0.4020187262898695,611,0.9121439788142235,0.5992154526203698,l2
M5800,1,0.05,-1,281,2.6919795645288304e-06,0.04137578048520922,3037,0.624376571759979,0.7880786672089184,l1
M5813,1,0.05,-1,762,0.1328184115635801,0.01272310239968937,646,0.8952581061604294,0.6154047814976423,l2
M5988,1,0.05,-1,79,1.562119518186663e-08,4.557508806885584e-05,26,0.8823066747360692,0.5601440063480236,l2
M6151,1,0.05,-1,58,0.00022175138973123628,1.0387971627120742e-08,99,0.5073095646783976,0.5019021187197688,l2
M6167,1,0.05,-1,109,0.06144249873263466,0.1184155718102152,288,0.8992874641374313,0.5205143652379657,l1
M6403,1,0.05,-1,331,9.278541984870879e-05,0.2129716796991827,2,0.714648581079819,0.8920883164309295,l2
M6599,1,0.05,-1,200,9.117888485572351e-07,3.128734793573174e-05,2,0.9221262467703318,0.9919943532981083,l2
M6615,1,0.05,-1,30,0.051615678823632744,2.9924753479509183e-06,2,0.5985305536743157,0.6243357061655557,l2
M6625,1,0.05,-1,463,0.31391830156403655,0.00015959066344941537,200,0.9177732218680533,0.9983023080373966,l2
M6772,1,0.05,-1,618,0.11732282527069147,5.662193336449932,251,0.9728658781618578,0.8323285320114644,l1
M6964,1,0.05,-1,23,0.1883987049093143,1.1532198340373669e-07,575,0.6910304278698736,0.5560922302200344,l1
M6989,1,0.05,-1,182,2.4462757967076694e-06,0.0005119558161158846,3,0.7879732477780896,0.964648098788107,l2
M7160,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M7279,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M7556,1,0.05,-1,33,0.027986258230304234,4.0239709475948286e-06,6,0.7932564674050415,0.5100537730937468,l1
M7562,1,0.05,-1,42,0.06573637155189191,8.159859223389852e-06,1335,0.8421432192312396,0.9558878187992037,l1
M7606,1,0.05,-1,529,7.326316408987164e-08,6.139530838198258,61,0.9883805440951685,0.802422759872523,l1
M7817,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M8014,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M8038,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M8164,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M8187,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M8353,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M8547,1,0.05,-1,51,0.0003192018574505813,0.3057746236230125,494,0.9081158199337802,0.8556327736386828,l1
M8764,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M8773,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M8875,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M8950,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M9088,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M9274,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M9284,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M9361,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M9579,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M9685,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M9823,1,0.05,-1,59,1.2071717147200167e-07,4.626598127080078e-06,4,0.658991589696988,0.707131497257335,l2
M9977,1,0.05,-1,36,9.848640172873773e-08,0.008071724032088088,4,0.5982911808400267,0.684362585330482,l1
M10019,1,0.05,-1,67,0.006064164223822614,0.0001382132714402771,572,0.9970436532491821,0.8334138505497223,l1
M10283,1,0.05,-1,43,0.773869328923304,0.030772685010831448,780,0.9989841439202564,0.6788692358203751,l1
M10410,1,0.05,-1,241,5.111445698529739e-07,0.06174021039440762,803,0.6033053517507402,0.7696806521902385,l1
M10428,1,0.05,-1,58,0.3034673916205664,4.917247275566725e-07,10,0.9327660752776661,0.8997858360864985,l2
M10505,1,0.05,-1,965,0.09114833374302253,3.320758634792945e-05,1720,0.9026415613195063,0.5647789575309611,l2
M10705,1,0.05,-1,33,0.08174159822194214,5.280246682586851e-05,2,0.5031710313796139,0.8589888584451234,l1
M10890,1,0.05,-1,147,3.831236138278393e-05,9.22442567949718,15,0.917680913385997,0.994892984654461,l2
M10911,1,0.05,-1,33,4.836608486915032e-06,0.0013479823207365454,161,0.7871626244247893,0.8266004099285669,l1
M11065,1,0.05,-1,186,0.00026529843593598405,7.632502044053308e-06,2,0.7092174072800439,0.9185985629376783,l2
M11080,1,0.05,-1,103,0.0028677344079246886,1.4884655406591142e-08,16,0.8300867687463425,0.645038803605222,l1
