unique_id,n_estimators,max_depth,min_samples_split,max_features,criterion
M80,386,6,81,0.901022742807172,absolute_error
M160,864,9,14,0.6873852605471253,absolute_error
M251,823,3,78,0.9148304909230233,absolute_error
M293,840,6,2,0.8827589735221004,squared_error
M591,944,5,4,0.5100229215872223,absolute_error
M609,58,1,72,0.7371489726438842,squared_error
M659,859,5,39,0.6145675528645282,squared_error
M795,58,1,36,0.7193182470369218,squared_error
M922,162,7,16,0.972334458524792,squared_error
M1085,129,6,11,0.9926983787886385,squared_error
M1155,984,5,100,0.9366385934856404,absolute_error
M1446,390,8,58,0.8711075508294156,squared_error
M1468,790,9,98,0.8995792821083618,absolute_error
M1537,152,10,3,0.6030600481717295,absolute_error
M1619,867,7,22,0.8057656156729952,squared_error
M1757,990,10,3,0.7024499818222748,squared_error
M1827,470,7,16,0.9539795862398341,squared_error
M2076,713,1,68,0.8353189348090797,squared_error
M2213,510,9,91,0.8635394616365135,absolute_error
M2337,784,10,66,0.8053569630295263,absolute_error
M2342,590,10,9,0.5435646498507704,absolute_error
M2589,326,10,3,0.8057538304473545,absolute_error
M2605,509,8,21,0.7549463906625424,absolute_error
M2766,991,8,12,0.5929829605849524,absolute_error
M2840,162,7,16,0.972334458524792,squared_error
M3008,632,7,95,0.8409101495517417,absolute_error
M3178,859,5,28,0.6419740102674932,absolute_error
M3269,466,9,97,0.6917207594128889,squared_error
M3427,509,8,8,0.7437776708273489,absolute_error
M3482,78,6,26,0.5175187517395857,squared_error
M3496,837,9,2,0.6472018459527209,absolute_error
M3714,873,6,43,0.5496665971960026,absolute_error
M3852,184,8,22,0.9876136865038443,squared_error
M3941,590,10,9,0.5435646498507704,absolute_error
M4079,58,1,72,0.93673320686862,squared_error
M4186,864,9,2,0.9039761888805167,squared_error
M4231,512,9,12,0.6503686633119621,squared_error
M4440,571,3,72,0.5909995837038253,absolute_error
M4570,423,6,77,0.5003612114856667,absolute_error
M4719,69,5,4,0.9648201775139152,squared_error
M4816,590,10,9,0.5435646498507704,absolute_error
M4971,590,10,9,0.5435646498507704,absolute_error
M5139,922,10,82,0.9891610797881222,squared_error
M5176,379,5,12,0.5425281328201526,absolute_error
M5273,590,10,9,0.5435646498507704,absolute_error
M5301,146,3,15,0.9392148470314459,squared_error
M5440,617,8,36,0.676528499533841,squared_error
M5683,229,2,71,0.7281018355963564,squared_error
M5800,915,10,7,0.5339257816314664,absolute_error
M5813,179,5,17,0.8946528817345,squared_error
M5988,655,5,90,0.5115344555569274,absolute_error
M6151,590,10,9,0.5435646498507704,absolute_error
M6167,115,10,8,0.9971136285022687,squared_error
M6403,946,6,31,0.9275424228115985,squared_error
M6599,641,2,32,0.5467797812520688,squared_error
M6615,1000,6,65,0.7092938297975131,absolute_error
M6625,119,5,9,0.9589012065823386,squared_error
M6772,590,10,9,0.5435646498507704,absolute_error
M6964,999,3,90,0.8031266055174121,absolute_error
M6989,405,5,54,0.7219208439463155,squared_error
M7160,590,10,9,0.5435646498507704,absolute_error
M7279,456,5,42,0.6623892154235589,squared_error
M7556,632,7,95,0.8409101495517417,absolute_error
M7562,232,6,21,0.5010497106637928,absolute_error
M7606,80,6,74,0.6687958768538044,absolute_error
M7817,893,7,10,0.6011145156269738,absolute_error
M8014,301,8,47,0.7842169744343243,absolute_error
M8038,58,5,27,0.9466976351862176,absolute_error
M8164,61,7,37,0.8285095497807468,absolute_error
M8187,809,8,58,0.7655812125145117,absolute_error
M8353,722,7,16,0.8883221694461185,absolute_error
M8547,993,5,34,0.9980819149362312,absolute_error
M8764,790,9,98,0.8995792821083618,absolute_error
M8773,800,6,3,0.554500729883398,absolute_error
M8875,828,8,7,0.5296359094720067,squared_error
M8950,989,5,10,0.5065244725322233,absolute_error
M9088,762,6,10,0.6538688241472712,absolute_error
M9274,71,4,14,0.9455333425404372,squared_error
M9284,571,8,61,0.7724415914984484,absolute_error
M9361,944,1,32,0.5774551978227942,squared_error
M9579,162,7,16,0.972334458524792,squared_error
